ID,parents,has_nurs,form,children,housing,finance,social,health,app_status
2403,1,1,2,1,2,2,1,2,1
2404,3,4,4,2,2,1,3,2,0
2405,3,2,3,4,2,1,1,3,0
2406,3,4,1,3,2,2,3,1,0
2407,1,2,1,2,3,1,2,2,0
2408,2,2,4,1,1,1,1,1,0
2409,2,4,2,2,2,2,1,2,0
2410,1,2,4,3,3,2,1,1,0
2411,1,1,1,1,1,1,1,3,1
2412,1,1,3,2,3,2,2,1,0
2413,2,2,4,3,3,2,1,1,0
2414,2,3,1,1,2,1,3,3,1
2415,1,2,1,2,3,1,1,1,0
2416,2,2,2,3,3,1,2,1,0
2417,2,4,2,4,2,1,2,1,0
2418,1,1,4,3,2,1,1,3,1
2419,2,1,3,3,3,2,3,2,1
2420,3,2,3,2,3,2,2,3,1
2421,2,3,3,2,3,1,1,3,1
2422,2,3,2,3,1,1,2,1,0
2423,2,3,2,4,1,1,2,1,0
2424,2,2,3,1,1,2,2,1,0
2425,3,3,3,4,2,2,2,1,0
2426,1,4,2,4,1,1,2,3,1
2427,2,4,4,3,3,2,1,2,0
2428,1,3,4,4,1,2,1,3,1
2429,1,4,2,4,2,1,2,3,1
2430,2,3,1,2,2,2,1,1,0
2431,2,2,2,1,2,2,2,2,0
2432,3,3,4,3,2,1,3,2,0
2433,1,2,2,3,1,1,1,3,0
2434,1,4,4,3,3,1,2,2,1
2435,1,2,4,1,2,1,3,1,0
2436,2,3,1,4,1,1,3,2,1
2437,1,2,1,1,3,1,1,1,0
2438,1,4,3,1,3,2,2,1,0
2439,3,4,1,4,2,2,1,3,0
2440,2,4,3,1,2,1,1,3,0
2441,3,3,3,2,3,1,3,3,1
2442,2,2,4,2,2,1,3,3,0
2443,2,1,2,1,1,2,2,1,0
2444,1,2,3,2,3,1,1,2,0
2445,1,1,1,2,1,1,1,3,1
2446,2,2,2,2,1,2,2,3,0
2447,3,3,3,3,1,1,3,1,0
2448,2,1,1,3,3,2,2,2,1
2449,2,2,2,4,2,1,2,2,0
2450,2,3,3,2,3,2,1,2,1
2451,2,2,4,2,2,2,1,3,0
2452,2,2,2,4,3,2,2,3,0
2453,1,4,4,1,2,1,2,3,1
2454,1,1,3,1,2,2,1,2,1
2455,2,3,1,3,3,2,2,1,0
2456,1,2,3,3,2,2,3,1,0
2457,2,2,2,2,2,1,3,1,0
2458,2,4,1,3,2,2,1,3,0
2459,2,1,3,1,3,2,3,1,0
2460,1,2,1,1,2,2,1,3,1
2461,1,2,4,3,1,2,2,3,0
2462,2,2,3,4,1,2,1,3,0
2463,1,3,1,4,2,2,1,3,1
2464,2,1,1,2,3,2,1,3,1
2465,1,4,4,4,3,2,2,1,0
2466,3,2,2,1,3,1,3,1,0
2467,1,2,2,4,1,1,1,3,1
2468,3,4,4,2,2,2,1,1,0
2469,1,2,3,1,3,2,1,3,1
2470,1,1,3,3,1,1,3,2,1
2471,3,2,2,3,2,2,1,3,0
2472,1,4,1,3,2,1,2,2,1
2473,2,3,1,4,1,1,2,1,0
2474,3,3,2,1,2,2,3,1,0
2475,1,2,1,3,3,2,3,2,0
2476,1,2,1,4,3,1,1,1,0
2477,2,3,3,3,3,1,1,3,1
2478,3,4,2,3,1,1,1,1,0
2479,3,2,4,3,1,1,3,3,1
2480,1,1,4,2,1,1,2,3,1
2481,3,3,2,2,1,2,1,1,0
2482,1,2,3,1,1,2,1,1,0
2483,2,3,3,1,1,2,3,2,1
2484,3,4,3,3,3,1,3,2,0
2485,3,4,1,4,3,1,3,2,0
2486,3,2,2,4,3,2,1,1,0
2487,1,2,4,4,3,1,3,1,0
2488,3,1,4,3,3,1,1,2,0
2489,1,2,2,1,1,1,2,3,1
2490,3,2,4,1,1,2,3,3,0
2491,2,2,2,3,3,1,2,2,0
2492,1,1,4,4,1,1,3,3,1
2493,1,1,4,1,1,1,3,2,1
2494,3,3,1,4,3,1,1,1,0
2495,2,2,1,3,1,2,3,2,0
2496,3,1,1,2,3,1,1,3,1
2497,2,4,4,1,2,1,2,3,1
2498,2,1,3,2,1,2,3,1,0
2499,2,1,2,1,2,1,3,3,1
2500,3,2,4,2,2,1,3,1,0
2501,3,4,1,3,2,2,2,2,0
2502,2,1,4,2,1,1,1,1,0
2503,3,2,3,4,2,1,1,1,0
2504,1,2,2,2,3,2,1,1,0
2505,2,2,4,3,2,2,1,1,0
2506,1,3,3,3,3,2,2,3,1
2507,2,3,4,4,3,1,2,3,1
2508,3,3,3,1,2,1,3,1,0
2509,1,2,2,4,2,1,3,1,0
2510,3,1,2,2,3,2,1,3,0
2511,1,4,1,3,1,2,1,3,1
2512,2,3,3,4,3,1,2,3,1
2513,2,2,2,4,3,2,2,2,0
2514,2,2,3,2,2,1,2,3,0
2515,1,1,1,1,1,2,2,2,1
2516,3,4,3,3,2,1,1,1,0
2517,1,3,3,4,1,2,2,3,1
2518,3,1,3,2,2,1,2,1,0
2519,3,2,2,3,1,1,3,1,0
2520,3,4,3,4,1,2,3,3,0
2521,1,3,3,3,3,2,2,1,0
2522,1,2,1,2,3,2,1,2,0
2523,1,4,1,3,3,1,3,1,0
2524,2,2,3,1,2,1,1,3,0
2525,1,2,2,1,3,1,1,2,1
2526,2,1,3,4,2,1,2,3,1
2527,2,1,2,1,1,2,3,3,1
2528,1,2,3,4,3,2,3,3,0
2529,2,2,4,4,1,2,2,3,0
2530,1,4,2,3,3,1,2,1,0
2531,3,1,2,4,3,1,3,3,1
2532,2,3,2,4,3,2,1,2,1
2533,3,2,2,2,2,2,3,2,0
2534,3,3,3,4,3,2,2,1,0
2535,2,3,1,3,1,2,3,2,1
2536,3,2,1,1,2,1,2,1,0
2537,3,3,1,3,2,2,3,3,1
2538,2,3,3,4,2,2,3,2,1
2539,2,4,2,2,1,2,3,1,0
2540,1,2,3,2,2,2,1,3,0
2541,1,3,3,2,3,2,3,3,1
2542,1,2,1,1,2,1,3,3,1
2543,3,2,1,4,2,1,2,3,0
2544,1,4,1,2,1,1,2,1,0
2545,2,1,3,4,1,1,3,2,1
2546,3,3,2,3,2,2,2,1,0
2547,1,2,4,2,3,1,1,3,0
2548,2,4,2,4,2,1,2,3,1
2549,3,2,2,2,1,2,2,2,0
2550,1,1,2,4,3,1,1,3,1
2551,1,3,2,1,2,2,2,3,1
2552,3,2,4,2,1,2,2,1,0
2553,3,2,4,2,3,1,3,2,0
2554,1,3,1,3,3,1,1,2,1
2555,2,1,1,4,2,1,3,3,1
2556,1,4,2,4,1,1,1,3,1
2557,1,4,3,3,3,1,2,1,0
2558,3,2,3,4,3,1,3,3,0
2559,3,3,3,4,1,1,2,3,1
2560,2,1,3,3,2,1,3,2,1
2561,2,1,2,1,1,1,2,1,0
2562,3,1,4,4,1,1,3,3,1
2563,1,2,4,4,1,1,3,3,1
2564,1,2,1,2,2,2,1,3,0
2565,3,4,4,3,3,1,1,1,0
2566,3,1,1,3,1,1,1,1,0
2567,2,2,1,4,3,1,1,3,0
2568,1,3,3,4,2,2,2,3,1
2569,3,1,3,4,1,1,2,2,1
2570,3,3,2,3,1,2,1,1,0
2571,1,2,1,1,2,2,3,1,0
2572,2,1,2,2,2,2,1,1,0
2573,1,2,2,1,1,2,2,1,0
2574,3,2,3,1,2,2,1,1,0
2575,2,4,3,4,1,1,1,2,1
2576,3,2,4,4,2,2,2,1,0
2577,1,4,3,1,3,2,3,2,1
2578,2,3,2,1,2,1,2,3,1
2579,3,2,1,1,1,1,1,3,1
2580,3,1,4,1,2,1,3,2,0
2581,2,4,3,2,2,2,2,1,0
2582,3,2,2,4,2,1,1,3,0
2583,2,2,1,2,2,2,2,3,0
2584,2,3,4,4,2,2,3,1,0
2585,1,2,2,4,2,1,2,1,0
2586,2,1,4,3,1,1,3,1,0
2587,1,2,4,1,3,2,1,3,0
2588,3,3,2,3,2,2,3,2,0
2589,1,2,1,4,1,1,1,2,0
2590,1,2,3,3,2,2,3,3,0
2591,2,4,1,1,2,1,3,1,0
2592,1,3,1,3,3,2,3,2,1
2593,3,1,1,2,2,1,2,1,0
2594,3,2,4,4,2,2,1,2,0
2595,2,1,1,1,2,1,2,2,1
2596,3,2,3,4,3,2,2,3,0
2597,1,1,4,2,3,2,2,1,0
2598,2,4,4,3,3,1,1,3,0
2599,2,2,2,4,1,2,2,1,0
2600,3,2,2,4,3,1,2,1,0
2601,1,2,1,3,2,1,1,1,0
2602,1,2,3,1,3,2,2,3,1
2603,3,2,3,1,1,1,2,1,0
2604,3,2,1,4,2,1,3,3,0
2605,2,2,3,1,3,1,1,1,0
2606,2,2,4,2,1,1,3,1,0
2607,2,3,2,1,1,2,3,2,1
2608,2,2,4,3,1,1,2,3,1
2609,2,2,3,1,3,1,2,2,0
2610,1,1,2,1,1,2,1,3,1
2611,1,3,4,4,1,1,3,3,1
2612,2,4,1,2,2,2,2,1,0
2613,3,2,1,3,2,2,1,2,0
2614,1,3,1,2,2,1,2,3,1
2615,2,3,3,3,2,1,2,3,1
2616,3,3,2,2,2,1,1,2,0
2617,3,2,3,3,3,1,1,3,0
2618,2,2,4,1,3,2,1,1,0
2619,1,4,2,4,2,1,3,1,0
2620,3,1,4,1,3,1,1,2,0
2621,2,4,2,2,1,2,2,1,0
2622,1,2,4,1,2,2,2,3,1
2623,3,3,3,4,2,2,1,1,0
2624,1,4,1,4,1,2,3,3,1
2625,2,2,4,3,1,1,1,1,0
2626,3,2,3,3,3,2,2,3,0
2627,3,2,2,2,1,1,2,2,0
2628,2,4,4,4,2,1,2,1,0
2629,1,2,3,3,2,1,1,1,0
2630,2,3,1,4,2,2,1,2,1
2631,2,1,3,4,2,1,3,1,0
2632,3,2,1,4,1,2,1,3,0
2633,2,1,1,4,2,2,3,1,0
2634,2,1,4,1,2,1,3,1,0
2635,3,4,3,4,2,1,3,3,0
2636,3,2,2,4,1,1,3,3,1
2637,2,1,4,2,2,1,2,3,1
2638,2,3,4,2,1,2,3,2,1
2639,3,4,4,2,2,2,2,2,0
2640,2,4,3,3,3,2,3,3,1
2641,1,2,2,4,1,1,3,1,0
2642,2,1,3,2,2,1,1,3,1
2643,1,2,1,3,1,1,2,2,0
2644,2,1,1,1,3,1,3,1,0
2645,3,1,4,3,1,1,1,2,1
2646,1,2,1,4,2,2,1,2,0
2647,1,3,3,4,2,1,3,2,1
2648,3,2,1,2,3,2,1,3,0
2649,2,3,4,1,1,1,2,3,1
2650,1,4,4,3,2,1,3,2,1
2651,1,1,4,4,2,2,3,2,1
2652,2,4,2,4,1,2,2,1,0
2653,2,2,4,4,2,1,3,3,0
2654,1,1,2,1,2,2,3,1,0
2655,2,4,1,2,1,2,1,1,0
2656,3,2,4,3,2,1,3,3,0
2657,3,3,4,4,1,2,2,2,0
2658,1,2,3,2,3,1,1,2,1
2659,1,4,3,4,3,1,1,1,0
2660,1,2,1,3,2,2,3,1,0
2661,3,4,3,3,2,2,2,2,0
2662,2,2,4,3,3,2,1,3,0
2663,1,2,3,3,1,1,3,2,0
2664,2,3,2,2,2,2,1,3,1
2665,2,4,4,1,2,1,3,2,0
2666,3,2,3,3,1,1,1,1,0
2667,3,2,3,3,3,2,3,1,0
2668,3,4,1,3,3,2,3,2,0
2669,1,2,2,2,1,1,3,2,1
2670,2,4,4,2,1,1,1,1,0
2671,3,2,1,2,1,1,2,3,1
2672,2,4,4,3,1,1,1,2,1
2673,2,2,4,4,3,2,1,3,0
2674,1,1,3,2,2,2,2,1,0
2675,1,3,3,4,2,2,3,1,0
2676,3,2,1,1,2,2,1,2,0
2677,2,2,2,2,3,1,1,1,0
2678,3,2,4,1,2,2,1,1,0
2679,2,2,1,3,2,1,3,2,0
2680,2,1,4,4,2,2,2,2,1
2681,2,2,2,3,3,1,2,1,0
2682,3,2,2,1,3,2,3,2,0
2683,1,4,1,3,2,1,2,3,1
2684,1,4,2,3,3,1,1,1,0
2685,3,2,3,2,2,1,2,3,0
2686,3,3,3,1,1,1,2,2,1
2687,3,2,4,3,1,1,1,2,0
2688,1,3,4,4,3,1,2,1,0
2689,3,3,1,2,1,2,1,3,1
2690,2,1,1,3,2,2,2,1,0
2691,1,1,3,2,1,2,2,1,0
2692,1,4,3,2,3,2,1,1,0
2693,1,2,4,2,1,1,3,2,1
2694,1,2,3,1,1,1,2,3,1
2695,2,2,1,4,2,2,1,2,0
2696,3,2,1,1,1,2,3,1,0
2697,2,1,1,4,2,2,2,2,1
2698,3,1,1,1,3,2,3,2,1
2699,1,2,1,1,1,2,3,2,1
2700,2,1,3,1,2,2,1,2,1
2701,3,3,2,1,2,2,1,1,0
2702,2,1,3,4,2,2,2,3,1
2703,3,2,4,1,1,1,3,1,0
2704,3,2,3,4,1,2,1,3,0
2705,3,1,2,4,3,1,1,1,0
2706,3,4,2,1,1,2,2,2,0
2707,2,4,1,1,1,2,1,1,0
2708,1,4,4,3,2,2,1,3,1
2709,3,3,1,2,1,1,1,1,0
2710,3,2,1,2,1,1,1,2,0
2711,2,4,2,1,1,2,3,3,1
2712,2,2,2,4,1,2,3,1,0
2713,2,3,4,2,2,2,2,1,0
2714,1,4,4,3,3,1,3,2,1
2715,1,3,4,3,2,1,3,1,0
2716,1,2,3,1,3,1,3,3,1
2717,2,2,1,4,1,2,2,1,0
2718,1,1,4,3,3,2,2,2,1
2719,1,4,4,4,1,2,3,2,1
2720,1,2,3,1,2,1,3,1,0
2721,1,2,2,3,2,1,1,2,0
2722,3,2,4,4,1,2,1,2,0
2723,3,2,4,4,3,2,2,1,0
2724,1,2,1,1,1,2,2,2,1
2725,1,1,2,2,2,1,1,2,1
2726,1,1,2,1,2,1,2,1,0
2727,3,2,2,4,2,2,3,3,0
2728,2,2,2,2,2,2,2,2,0
2729,3,4,2,1,2,2,3,3,0
2730,1,2,2,1,2,2,1,2,0
2731,2,2,3,3,2,1,1,2,0
2732,1,1,4,4,3,1,1,1,0
2733,1,2,4,4,1,1,3,1,0
2734,2,1,1,1,3,2,2,2,1
2735,1,3,3,4,1,2,1,2,1
2736,1,1,2,1,1,1,1,2,1
2737,1,4,2,2,1,2,3,1,0
2738,2,2,2,1,2,2,2,2,0
2739,1,3,4,4,3,2,2,2,1
2740,2,2,3,4,1,1,2,2,0
2741,3,4,1,4,3,1,2,2,0
2742,1,2,1,4,3,1,2,3,0
2743,1,4,2,3,2,2,1,1,0
2744,3,2,4,3,1,2,1,2,0
2745,2,2,3,4,3,2,1,2,0
2746,3,4,4,3,2,2,1,2,0
2747,1,1,4,1,1,1,3,3,1
2748,3,4,4,4,3,1,2,2,0
2749,3,2,1,1,1,1,2,1,0
2750,2,2,1,1,2,2,1,2,0
2751,2,2,3,4,3,2,2,2,0
2752,3,4,4,1,1,1,2,3,1
2753,2,3,3,4,3,1,2,2,1
2754,2,1,1,4,1,2,1,2,1
2755,2,4,4,3,3,1,1,2,0
2756,1,4,1,3,1,2,3,1,0
2757,2,2,2,1,1,1,3,1,0
2758,1,2,4,4,2,2,2,3,0
2759,3,1,4,3,2,1,3,2,0
2760,2,1,2,2,3,1,1,2,1
2761,1,3,2,1,2,1,3,1,0
2762,1,2,1,2,1,1,1,2,1
2763,1,2,1,3,1,2,3,2,0
2764,3,2,1,2,2,1,3,2,0
2765,2,2,2,2,2,2,2,3,0
2766,3,1,2,4,1,2,3,1,0
2767,2,2,2,1,3,1,2,2,0
2768,2,3,1,4,2,1,2,3,1
2769,1,1,4,1,2,1,2,3,1
2770,3,3,1,2,2,2,2,1,0
2771,1,3,4,3,2,2,2,1,0
2772,3,2,1,1,2,2,1,1,0
2773,2,2,3,3,1,1,3,3,1
2774,2,2,2,1,2,1,1,3,0
2775,2,1,4,4,3,2,2,1,0
2776,1,4,4,3,2,2,2,1,0
2777,2,3,4,3,3,1,2,2,1
2778,3,2,3,4,2,1,2,2,0
2779,1,3,2,2,2,2,3,3,1
2780,3,2,1,1,1,2,2,1,0
2781,1,2,4,3,3,2,2,1,0
2782,1,1,1,3,3,2,2,2,1
2783,3,2,2,2,3,2,3,1,0
2784,2,3,2,3,2,1,2,3,1
2785,1,2,2,4,2,2,2,2,0
2786,1,4,4,1,3,1,3,1,0
2787,2,2,1,1,1,1,3,3,1
2788,1,3,1,2,3,1,3,2,1
2789,1,1,3,4,1,1,3,1,0
2790,3,2,2,1,3,2,1,3,0
2791,2,4,3,3,1,1,1,1,0
2792,2,3,1,2,3,2,1,1,0
2793,3,1,4,3,2,2,1,3,0
2794,1,2,1,3,1,2,2,3,1
2795,2,2,4,4,3,2,3,3,0
2796,3,2,1,3,1,1,1,2,0
2797,2,3,3,4,3,2,1,3,1
2798,1,1,3,3,1,1,1,1,0
2799,1,3,1,2,3,2,2,2,1
2800,1,1,2,4,2,2,2,2,1
2801,1,3,4,2,2,2,1,2,1
2802,1,2,4,3,1,1,1,1,0
2803,3,2,4,4,1,1,2,2,0
2804,1,2,4,1,2,2,3,1,0
2805,1,2,2,4,1,1,3,3,1
2806,3,2,4,1,1,2,2,2,0
2807,1,4,4,2,2,2,1,1,0
2808,1,4,4,2,3,1,2,3,1
2809,1,2,1,3,2,1,3,2,0
2810,2,2,4,2,1,1,1,1,0
2811,1,3,2,4,3,1,2,3,1
2812,2,2,2,4,3,1,2,2,0
2813,3,3,2,3,3,1,2,3,1
2814,3,4,2,1,2,1,1,1,0
2815,1,2,1,4,1,2,3,2,0
2816,3,3,4,1,1,2,2,2,0
2817,3,4,4,1,2,2,3,3,0
2818,1,4,2,2,1,1,2,2,1
2819,2,1,3,2,2,2,3,2,1
2820,1,2,4,3,1,1,2,3,1
2821,2,3,3,4,2,1,3,3,1
2822,3,2,4,1,1,1,2,2,0
2823,2,3,4,1,2,2,2,2,1
2824,1,4,3,2,1,2,2,1,0
2825,1,2,1,2,2,2,3,2,0
2826,3,2,2,3,2,2,1,2,0
2827,2,4,4,1,1,1,3,3,1
2828,3,4,3,3,1,2,2,3,0
2829,2,2,1,4,1,1,3,3,1
2830,1,3,4,3,1,2,2,1,0
2831,2,4,3,4,1,2,3,3,1
2832,3,3,2,3,3,1,2,2,0
2833,2,1,3,1,1,2,3,1,0
2834,3,4,1,4,2,2,2,1,0
2835,3,2,2,1,1,2,3,3,1
2836,3,3,2,3,1,2,2,2,0
2837,3,4,1,1,3,1,1,1,0
2838,3,3,1,2,1,1,2,3,1
2839,1,4,2,3,1,2,3,1,0
2840,3,1,2,4,3,1,2,2,0
2841,1,3,4,3,2,2,3,2,1
2842,3,2,2,3,2,2,2,2,0
2843,3,2,2,1,2,1,2,1,0
2844,2,3,1,3,2,2,2,1,0
2845,1,2,2,2,3,2,2,2,0
2846,2,1,1,1,2,2,3,2,1
2847,2,3,1,2,2,1,2,3,1
2848,1,3,3,1,3,1,1,2,1
2849,3,1,4,2,2,1,3,3,1
2850,2,3,2,2,3,2,2,3,1
2851,2,4,3,4,3,2,3,3,1
2852,1,4,2,2,3,2,2,1,0
2853,1,2,4,2,2,2,1,1,0
2854,3,2,3,4,3,1,1,3,0
2855,2,4,1,2,2,2,2,2,0
2856,1,2,2,1,2,2,2,1,0
2857,2,3,3,4,3,2,2,1,0
2858,3,2,3,2,2,2,2,2,0
2859,2,2,2,3,2,1,1,3,0
2860,3,4,4,1,1,2,2,3,0
2861,1,2,4,2,1,1,3,1,0
2862,2,1,2,1,1,1,1,3,1
2863,2,4,1,1,1,1,3,1,0
2864,2,2,2,1,1,2,2,3,1
2865,2,2,2,3,2,1,3,1,0
2866,1,3,3,2,2,1,3,1,0
2867,1,4,1,2,1,1,1,3,1
2868,3,2,1,2,1,1,1,2,0
2869,1,1,4,1,3,1,2,3,1
2870,1,3,2,1,3,1,3,3,1
2871,1,1,2,2,2,2,3,3,1
2872,2,2,2,1,2,2,1,3,0
2873,2,4,1,4,3,1,2,2,0
2874,1,2,4,4,2,1,1,2,0
2875,3,4,4,4,2,2,3,1,0
2876,2,2,2,3,3,1,3,3,0
2877,2,3,4,1,2,1,1,3,1
2878,3,3,4,4,2,2,1,3,0
2879,1,2,1,2,1,1,2,1,0
2880,3,4,1,3,2,1,2,1,0
2881,2,2,1,1,1,1,1,3,1
2882,1,2,3,4,1,2,2,3,1
2883,2,3,3,4,1,1,1,2,1
2884,3,1,2,1,1,1,3,1,0
2885,1,1,1,4,3,1,2,2,1
2886,3,4,3,4,2,2,1,1,0
2887,1,3,3,1,3,2,2,1,0
2888,1,2,3,2,1,2,2,3,1
2889,1,1,2,2,3,2,3,3,1
2890,1,2,1,3,1,2,3,3,1
2891,1,2,4,4,2,2,3,2,0
2892,3,1,1,2,1,2,1,1,0
2893,1,4,3,4,1,2,1,2,1
2894,3,2,4,4,2,2,3,3,0
2895,2,3,3,3,3,2,3,1,0
2896,2,4,3,3,2,2,3,1,0
2897,2,1,3,4,1,1,2,3,1
2898,1,1,3,3,2,2,2,1,0
2899,1,2,3,2,2,1,3,3,1
2900,1,4,1,2,1,1,2,3,1
2901,3,2,2,4,1,2,2,2,0
2902,1,4,4,3,2,1,2,2,1
2903,1,4,1,4,1,1,1,1,0
2904,3,4,3,4,3,2,1,1,0
2905,3,2,1,1,1,1,2,2,1
2906,3,4,4,4,2,2,3,3,0
2907,1,1,1,4,3,1,1,2,1
2908,2,2,3,4,2,2,1,3,0
2909,3,3,4,3,3,1,2,3,1
2910,3,4,1,2,1,1,3,3,1
2911,1,4,3,3,3,2,1,2,1
2912,2,3,3,4,1,1,1,3,1
2913,2,4,2,4,1,2,3,2,0
2914,3,4,1,2,2,2,3,3,0
2915,2,2,3,4,3,1,1,3,0
2916,1,3,2,3,1,1,2,3,1
2917,3,2,1,3,1,1,2,1,0
2918,1,3,2,2,1,1,3,3,1
2919,2,2,2,3,1,1,2,3,1
2920,3,1,2,4,3,2,1,1,0
2921,3,1,1,3,1,2,2,2,0
2922,1,2,3,2,1,2,1,2,0
2923,1,3,2,3,2,1,3,3,1
2924,1,2,1,4,2,2,2,3,0
2925,3,2,2,3,2,2,2,2,0
2926,2,2,2,3,1,2,2,3,0
2927,1,1,4,3,3,1,3,2,1
2928,3,1,3,1,3,2,3,2,1
2929,2,2,4,4,2,1,1,3,0
2930,3,2,4,4,1,2,2,3,0
2931,2,2,1,4,2,2,1,3,0
2932,2,3,4,3,2,2,3,1,0
2933,3,2,4,4,1,2,3,3,0
2934,2,4,1,4,2,1,1,2,0
2935,2,1,4,3,1,2,2,2,1
2936,3,2,2,1,3,2,2,2,0
2937,2,4,2,2,2,1,2,1,0
2938,3,2,2,1,2,2,2,3,0
2939,2,1,2,2,3,1,2,2,1
2940,2,2,1,3,1,2,3,1,0
2941,2,4,3,4,3,1,2,1,0
2942,3,3,2,1,1,1,3,3,1
2943,3,4,2,2,2,1,2,1,0
2944,3,2,2,1,3,1,3,3,1
2945,1,3,4,1,1,2,2,2,1
2946,3,2,3,3,2,1,1,2,0
2947,2,1,3,1,1,1,2,1,0
2948,3,4,3,2,3,1,2,2,0
2949,3,2,3,1,3,1,1,2,0
2950,2,1,3,2,3,2,3,2,1
2951,2,2,2,1,3,1,1,3,0
2952,3,4,3,1,2,1,3,2,0
2953,2,3,3,2,3,2,2,2,1
2954,2,1,4,1,1,1,2,1,0
2955,1,2,3,2,2,1,1,1,0
2956,2,2,4,1,1,2,2,1,0
2957,3,1,1,3,2,2,3,2,0
2958,1,4,2,4,2,2,1,3,1
2959,3,1,1,4,2,2,1,2,0
2960,2,2,4,4,1,2,3,3,0
2961,1,3,3,1,3,1,1,1,0
2962,3,1,3,3,2,2,2,3,1
2963,3,3,3,1,3,1,2,2,1
2964,2,1,2,4,1,1,3,3,1
2965,1,2,1,3,2,1,3,1,0
2966,1,2,1,1,1,2,1,2,1
2967,2,1,3,2,2,1,1,1,0
2968,2,1,2,3,3,1,3,1,0
2969,1,3,3,4,3,2,1,1,0
2970,1,3,1,4,1,2,2,2,1
2971,3,2,1,1,3,1,1,3,0
2972,2,3,4,3,3,1,1,1,0
2973,2,4,1,1,2,2,1,3,1
2974,2,2,3,4,2,1,1,3,0
2975,3,3,3,4,1,2,3,2,0
2976,3,4,1,3,2,2,2,3,0
2977,1,1,1,2,3,2,1,3,1
2978,3,2,1,2,2,1,2,3,0
2979,2,2,1,1,2,1,1,1,0
2980,1,4,3,2,3,1,2,2,1
2981,3,2,3,4,1,2,1,1,0
2982,1,3,4,4,1,1,3,1,0
2983,2,2,2,2,3,2,2,3,0
2984,1,3,3,4,2,1,1,3,1
2985,2,1,4,2,1,2,2,3,1
2986,3,3,2,3,2,2,1,2,0
2987,2,2,2,3,3,1,2,3,0
2988,1,2,1,3,2,2,3,2,0
2989,2,3,2,1,1,2,3,3,1
2990,3,3,2,4,1,2,2,1,0
2991,3,2,1,3,2,1,3,3,0
2992,2,2,3,4,3,2,3,1,0
2993,1,4,3,2,1,1,2,3,1
2994,1,1,1,2,3,2,3,3,1
2995,2,1,2,2,2,2,1,2,1
2996,1,4,1,4,2,2,3,2,1
2997,3,2,3,2,2,1,1,3,0
2998,2,2,3,3,2,2,1,3,0
2999,2,4,1,3,1,2,3,2,0
3000,1,2,4,2,2,1,2,2,0
3001,3,3,4,2,3,2,2,2,0
3002,2,2,2,1,3,2,3,2,0
3003,1,2,3,1,1,2,3,2,0
3004,3,2,1,2,2,1,1,2,0
3005,2,4,1,3,3,2,2,3,1
3006,2,1,4,4,2,2,1,3,1
3007,3,2,1,1,3,1,3,3,1
3008,1,2,3,4,1,1,3,2,1
3009,2,2,3,1,1,1,3,2,0
3010,2,2,3,4,1,2,2,2,0
3011,2,1,2,4,3,2,3,2,1
3012,3,3,4,3,2,2,3,2,0
3013,2,4,4,4,1,2,2,2,0
3014,1,1,3,4,2,2,3,1,0
3015,3,4,1,1,3,2,1,1,0
3016,2,3,2,3,1,2,3,2,1
3017,1,1,4,1,2,1,3,2,1
3018,1,2,4,3,2,2,3,1,0
3019,2,3,1,4,3,1,2,1,0
3020,3,3,1,4,2,1,1,2,0
3021,3,1,4,1,1,2,2,3,1
3022,3,2,2,2,1,1,3,3,1
3023,3,2,2,4,3,1,3,1,0
3024,3,4,4,1,2,1,2,2,0
3025,1,2,3,3,1,2,1,3,0
3026,2,3,1,4,3,2,1,1,0
3027,2,4,3,2,3,2,3,3,1
3028,3,2,3,1,1,2,3,1,0
3029,3,4,4,1,3,1,2,1,0
3030,3,1,4,3,2,1,2,2,0
3031,1,2,2,3,3,2,3,2,0
3032,3,2,4,3,3,2,1,3,0
3033,3,2,3,2,3,1,3,2,0
3034,3,2,3,1,3,1,1,3,0
3035,1,4,4,3,3,2,2,3,1
3036,2,2,2,4,1,1,2,1,0
3037,3,2,1,4,1,1,3,3,1
3038,3,4,2,3,1,1,3,1,0
3039,1,2,2,3,2,1,1,2,0
3040,2,2,3,4,3,1,3,1,0
3041,3,2,3,1,2,1,1,2,0
3042,3,4,1,4,2,2,1,2,0
3043,2,4,2,2,2,1,1,2,0
3044,1,2,3,4,2,2,2,2,0
3045,3,2,4,3,3,1,1,1,0
3046,3,4,1,3,3,1,1,1,0
3047,3,4,4,1,1,1,2,1,0
3048,2,4,2,1,1,1,1,1,0
3049,2,2,3,3,2,1,1,1,0
3050,3,4,2,3,1,2,2,3,0
3051,1,1,1,1,1,1,1,1,0
3052,3,3,1,1,2,1,2,2,1
3053,1,2,2,3,2,1,3,2,0
3054,1,2,3,4,2,2,3,3,0
3055,3,2,1,3,1,2,1,1,0
3056,2,1,1,3,2,1,3,2,1
3057,1,3,1,4,1,2,3,3,1
3058,2,1,3,4,2,2,3,1,0
3059,2,2,1,3,3,2,3,2,0
3060,2,4,4,1,2,2,1,3,0
3061,2,4,4,1,3,2,1,1,0
3062,1,2,3,3,1,1,2,1,0
3063,3,4,1,3,2,2,1,2,0
3064,2,3,3,1,3,2,1,3,1
3065,1,4,3,3,2,1,1,3,1
3066,2,3,2,2,3,1,2,3,1
3067,3,3,3,2,2,2,2,2,0
